epoch;mean;std;experiment
1;66,12040113791208;2,4849236053914434;0
2;70,6378443419155;2,0066150491655423;0
3;72,61375136461795;1,9874570566049976;0
4;74,3502824858757;1,153647912437655;0
5;75,59238363892806;1,5867974186279232;0
6;76,46779103216912;1,5561845018763742;0
7;77,58279346258357;1,4152611879845702;0
8;78,30279378132646;1,505257996439105;0
9;78,89597427744974;1,7030368140187773;0
10;79,2767524881866;1,88428892044091;0
11;79,47421370116261;1,7287275713427086;0
12;79,91186759420845;1,9418233395768;0
13;80,03906592399575;1,9919839911024664;0
14;80,39203381861938;1,82663356236862;0
15;80,85773708493701;1,7913730995920596;0
16;81,1401432749237;1,7550407567706332;0
17;81,12585960969935;1,7903164578420154;0
18;81,47898687576199;1,718275153058357;0
19;81,66244332353197;1,5170833314443175;0
20;81,6201302064657;1,5674382172938954;0
21;81,83191492752584;1,573116416898172;0
22;82,22705648920656;1,4744288529109768;0
23;82,07184862900719;1,4952938570029872;0
24;82,43882128883683;1,2874155203816795;0
25;82,5799845409704;1,3395079785854809;0
26;82,62245702947574;1,0210940885792759;0
27;82,74943622353437;1,307738686482829;0
28;82,83406245766697;1,6329252671692736;0
29;82,91894767038801;1,5554645064392965;0
30;82,98946953216516;1,5454965938672836;0
31;83,04596670730639;1,5121413057461164;0
32;82,83408237909684;1,4555332062670467;0
33;82,82007761389082;1,3347047407234878;0
34;83,37052664292031;1,552817769739829;0
35;83,32821352585404;1,2535492139948834;0
36;83,27173627214269;1,3973224351878932;0
37;83,42714334664085;1,347022127245185;0
38;83,59643565776578;1,567903991774764;0
39;83,70937024375861;1,5771171697371869;0
40;83,65293283290701;1,4999200127194097;0
41;83,78001163411504;1,6708809482188165;0
42;83,56830659877443;1,5489915379540067;0
43;83,7094897723379;1,4975465962278507;0
44;83,80822037882592;1,548941424507047;0
45;83,80830006454543;1,4885228324351458;0
46;84,01994533559642;1,6202613128099852;0
47;84,18953646816955;1,3498987704407273;0
48;84,07664172503647;1,4412655741469735;0
49;84,1612878805989;1,3804738868673945;0
50;84,21780497717005;1,3210719774750694;0
1;69,07034655319421;1,8135753520022624;1
2;71,32935701592919;1,742024221616081;1
3;72,5997864422717;2,192846334835881;1
4;74,11042847011386;1,8662242003610447;1
5;75,19730184153698;1,6327005746908825;1
6;76,12910680276987;1,0766065878844584;1
7;77,08910058728375;1,5446362738891253;1
8;77,71019100666969;1,2178373515682352;1
9;77,96422908050648;1,2604552562979912;1
10;78,02078601993736;1,5151490414219508;1
11;78,23251097670787;1,5936027574937612;1
12;78,3456447769995;1,1893668532122486;1
13;78,76911461197041;1,3663126152194198;1
14;79,06544588144358;1,4032776729438934;1
15;79,19250476122173;1,2350435972984792;1
16;79,46080657885301;1,1185004483215188;1
17;79,43233885555371;1,3105283216374486;1
18;79,43255799128238;1,261793359277735;1
19;79,37596120899174;1,4691105059131908;1
20;79,4889754807041;1,3229043912108396;1
21;79,63009888997794;1,3062724365906908;1
22;79,61603436048226;1,062939701013308;1
23;79,7290685536245;1,3209366638321645;1
24;79,71498410269895;1,3871845924001325;1
25;79,9125250013945;1,3577077012275691;1
26;79,92662937374992;1,3527089800326717;1
27;79,9972309212466;1,2788089996883447;1
28;79,96902217653573;1,5511436617366725;1
29;79,9689624122461;1,5678828528358626;1
30;79,89838078617929;1,368656393814471;1
31;79,75713784832621;1,5826949222134166;1
32;79,82767963153323;1,4246605340922625;1
33;79,75705816260668;1,434319117578019;1
34;79,79947088682238;1,3961000409375046;1
35;79,70064067318496;1,5686285729571865;1
36;79,60177061668779;1,4757173420817722;1
37;79,60191006669695;1,3012955191547566;1
38;79,74303347597078;1,3388348620116188;1
39;79,74295379025125;1,325364327605825;1
40;79,70064067318496;1,3683382973718416;1
41;79,60189014526706;1,3370613978289774;1
42;79,53128859777037;1,2706378101754745;1
43;79,57360171483668;1,3734318343432623;1
44;79,74295379025125;1,3453398860426375;1
45;79,86997282716966;1,2358518581370894;1
46;79,68647653653989;1,360565818044703;1
47;79,72880957503605;1,4624263859360704;1
48;79,68653630082953;1,4325846358497931;1
49;79,79943104396261;1,3470941650015542;1
50;79,7853266716072;1,3021801490224103;1
1;70,63722677758919;1,905304900789185;2
2;72,85384443753836;1,703792706556138;2
3;74,09614480488952;1,7989744716178904;2
4;74,8727817487828;1,848466679405737;2
5;76,114743451826;1,6154602069658692;2
6;76,76442112309053;1,185856005343189;2
7;77,27251719219399;1,240136118202645;2
8;77,69602687002462;1,25387901702552;2
9;77,69610655574415;1,2906569667115817;2
10;77,73859896567936;1,5258770779179045;2
11;77,92215502059877;1,809749525192988;2
12;77,99277648952531;1,2593920888963308;2
13;78,33146071892456;1,4987183469467251;2
14;78,45826062011427;1,5687334290467512;2
15;78,51471795239577;1,5865786777405042;2
16;78,58537926418207;1,4891126215062067;2
17;78,69829392874503;1,3785740221878109;2
18;78,88192966938395;1,3889893605031864;2
19;78,4866287362642;1,3591547935185118;2
20;78,7548707896058;1,239612020412022;2
21;78,684289163539;1,1821898759671243;2
22;78,81146757189644;1,1595815380569354;2
23;78,88202927653334;1,150061541844013;2
24;78,8397958451866;1,3320164427282972;2
25;79,02327221438647;1,3551052338861145;2
26;79,1643757022304;1,3230679104961294;2
27;79,23487764257767;1,380505924926804;2
28;79,22077327022224;1,340274784224904;2
29;79,29137481771893;1,499298260368287;2
30;79,23493740686732;1,5054443142321694;2
31;79,16425617365113;1,4990450567937192;2
32;79,26304654442878;1,5190140694851588;2
33;79,02295347150837;1,5349375996944217;2
34;79,0654259600137;1,5489243013637335;2
35;78,93842684452521;1,533425352450538;2
36;78,96655590351655;1,5032717998525311;2
37;79,10771915565013;1,4076545293571967;2
38;78,98064035444206;1,4779011126269324;2
39;78,95235192401171;1,3812380286558101;2
40;79,06532635286429;1,3189818730348308;2
41;79,09357494043495;1,4445578389777485;2
42;79,02297339293825;1,3475119576865389;2
43;79,02303315722791;1,3968177355595344;2
44;79,26296685870925;1,3494961562350587;2
45;79,16401711649257;1,6360311593210255;2
46;79,12174384228604;1,5447956991366103;2
47;79,07947056807949;1,6749312562298475;2
48;79,02301323579802;1,5328710324660781;2
49;79,02299331436812;1,4485427556804364;2
50;79,22061389878321;1,336755529398617;2
1;71,89402994589341;2,19888341952164;3
2;73,75750041835003;1,6486334390749096;3
3;75,43759412875619;1,5124459633088119;3
4;76,07260962762862;1,7001462610393914;3
5;76,28435450582901;1,6089267276440486;3
6;76,42559744368211;1,4544633862355931;3
7;76,9053054752058;1,634890093788115;3
8;76,89116125999061;1,6498851667378889;3
9;76,91937000470145;1,6198010441336643;3
10;76,83472384913901;1,358977718705413;3
11;76,62307857808804;1,555811481993693;3
12;76,84886806435419;1,5566271887559233;3
13;76,80643541870863;1,4164563111043642;3
14;76,82073900536284;1,363184344370966;3
15;76,80657486871776;1,470591123924857;3
16;76,80659479014767;1,5178102060626273;3
17;76,7501972221558;1,4570026743895048;3
18;76,60909373431187;1,5491444110371455;3
19;76,55259655917062;1,6130385401926826;3
20;76,56672085295595;1,6582578162481159;3
21;76,66547138087384;1,6675308740488108;3
