Experiment 0;Experiment 1;Experiment 2;Experiment 3;Experiment 4;Experiment 5;Experiment 6;Experiment 7;Experiment 8;Experiment 9;Experiment 10;Experiment 11;Experiment 12;Experiment 13;Experiment 14;Experiment 15;Experiment 16;Experiment 17;Experiment 18;Experiment 19;Experiment 20;Experiment 21;Experiment 22;Experiment 23;Experiment 24;Experiment 25;Experiment 26;Experiment 27;Experiment 28;Experiment 29;Experiment 30;Experiment 31
2,4849236053914434;1,8135753520022624;1,905304900789185;2,19888341952164;2,5235898844048954;1,8135753520022624;1,8032414735658688;1,5998171192373285;2,4048847097468387;1,7801656105130033;1,5498312754888963;1,8593369110529168;2,2247616868176374;1,9488147575219927;2,19522692460522;2,0851465020390583;1,086830376373193;1,8135753520022624;1,8135753520022624;2,5235898844048954;1,8032414735658688;2,4048847097468387;1,5498312754888963;2,4849236053914434;2,2141083162295416;2,068289754722434;1,9224654828235328;3,0768392838034777;2,398528955924397;2,257133780530961;0;2,7074694623683904
2,0066150491655423;1,742024221616081;1,703792706556138;1,6486334390749096;2,0538709671295865;1,742024221616081;2,3829150513569988;1,6931154700630815;2,384229733193874;1,8470460635539019;2,0074097479365998;1,809222842504923;1,6066350054424958;1,9831894413890336;1,847609257512544;2,3031334706212245;1,635063827726989;1,742024221616081;1,742024221616081;2,0538709671295865;2,3829150513569988;2,384229733193874;2,0074097479365998;2,0066150491655423;2,251814737110914;2,2047014793464514;1,779996137240783;1,2766057966014688;2,5415350682391593;1,6738453289538482;0;2,8589629135935697
1,9874570566049976;2,192846334835881;1,7989744716178904;1,5124459633088119;1,5545637222519482;2,192846334835881;1,9400720129712268;1,7487958940382156;1,7266693683224292;1,9824514003699247;1,8323550669344209;1,8240994806219584;1,7800435438006192;2,0824726335632433;1,9385923342794604;2,136167295691526;1,5678594999007194;2,192846334835881;2,192846334835881;1,5545637222519482;1,9400720129712268;1,7266693683224292;1,8323550669344209;1,9874570566049976;1,876675630705829;1,881766484777532;1,8024800724955423;2,0094081895399785;2,1502715079401624;1,9762960570722268;0;2,073428404534317
1,153647912437655;1,8662242003610447;1,848466679405737;1,7001462610393914;1,5341324041115123;1,8662242003610447;1,95682572407187;1,5968005156070764;2,2567040504517317;1,781302222311444;1,5537870870660864;1,795718634844767;1,9533190807972736;1,6810759488416094;1,6011069400804128;1,8479169203498391;1,5324766791790854;1,8662242003610447;1,8662242003610447;1,5341324041115123;1,95682572407187;2,2567040504517317;1,5537870870660864;1,153647912437655;2,113001887284893;2,0344260463670003;1,9588948454247213;1,217460127907962;2,2747041010906983;1,8065236205265467;0;1,8859074370155169
1,5867974186279232;1,6327005746908825;1,6154602069658692;1,6089267276440486;1,6256245821377862;1,6327005746908825;1,733317662664732;1,6141979882244741;1,7603673992716369;1,7631266080005588;1,7739231773933082;1,6354008679972336;1,4538797839101238;1,625157191282393;1,5756761148137717;1,8845126684626212;1,4855485666513104;1,6327005746908825;1,6327005746908825;1,6256245821377862;1,733317662664732;1,7603673992716369;1,7739231773933082;1,5867974186279232;1,7360432861024695;1,937233193311024;1,8380109728647689;0,9279137700952802;1,9163022403679943;1,4899735427688794;0;1,6203654414011004
1,5561845018763742;1,0766065878844584;1,185856005343189;1,4544633862355931;2,010566431623916;1,0766065878844584;1,3501608471796909;1,3474654085194455;1,684942721227527;1,646551416466434;1,2390908619916352;1,210121662221978;1,1671479699090392;1,0739214442478224;1,2723450128838;2,1136635331010507;1,1947085888543312;1,0766065878844584;1,0766065878844584;2,010566431623916;1,3501608471796909;1,684942721227527;1,2390908619916352;1,5561845018763742;1,3427260594294483;1,7332024688388106;1,5743641950972702;2,0175372594925234;1,986042936699185;1,8741209955850755;0;1,4940636086360783
1,4152611879845702;1,5446362738891253;1,240136118202645;1,634890093788115;1,6598787860640198;1,5446362738891253;1,894759593847875;1,367145320344137;2,0607388868232808;1,7135489963008368;1,3821925748082988;1,4883385517481975;1,5833612702225643;1,4410563497842357;1,6784251637515286;2,0252304437034083;1,2432915009495875;1,5446362738891253;1,5446362738891253;1,6598787860640198;1,894759593847875;2,0607388868232808;1,3821925748082988;1,4152611879845702;1,924593567644569;2,0589747364943114;1,5995200874748061;1,59781409069045;2,2988081102512323;1,531619032794933;0;1,684706450397013
1,505257996439105;1,2178373515682352;1,25387901702552;1,6498851667378889;1,788163549067059;1,2178373515682352;2,1012504061764146;1,5183577542633375;2,198029468625728;1,7064444341691236;1,3688411344229563;1,294616034719997;1,2338405824677157;1,3031950841921205;1,3450765249376369;1,458133286073434;1,453861222540952;1,2178373515682352;1,2178373515682352;1,788163549067059;2,1012504061764146;2,198029468625728;1,3688411344229563;1,505257996439105;2,089787365659141;2,2414191335770552;1,0740961540518816;1,9760516613749468;2,1630142483499504;1,1294320096717032;0;2,3566033976122487
1,7030368140187773;1,2604552562979912;1,2906569667115817;1,6198010441336643;2,027843812965523;1,2604552562979912;2,1121685213915424;1,6749005598410809;1,9930928084191264;1,736470596240305;1,6023594428103063;1,2954050185618409;1,3832523248391169;1,3582606698154298;1,3083543617580848;1,731819452081497;1,4652340943918214;1,2604552562979912;1,2604552562979912;2,027843812965523;2,1121685213915424;1,9930928084191264;1,6023594428103063;1,7030368140187773;1,7344465748702766;1,9836509854968816;1,4050372557473565;2,0426792277769823;2,0537828838841095;1,3110844214923467;0;2,0644337188551933
1,88428892044091;1,5151490414219508;1,5258770779179045;1,358977718705413;1,81189596964706;1,5151490414219508;1,7355726160312488;1,340123073146121;2,1292622006815214;1,6506684125023974;1,5004166165086676;1,3592561616783008;1,4087932152636493;1,4043554937762823;1,3711983754993535;1,4987220106227483;1,4223035296513589;1,5151490414219508;1,5151490414219508;1,81189596964706;1,7355726160312488;2,1292622006815214;1,5004166165086676;1,88428892044091;1,2716739639839532;1,5225166876539704;1,4630235653764119;1,7973527408424481;1,5393007003225985;1,3274125327618749;0;1,7449365176749707
1,7287275713427086;1,5936027574937612;1,809749525192988;1,555811481993693;2,0003109094391585;1,5936027574937612;1,3699766466724437;1,4967982983546944;1,4013157445752942;1,5014201209714868;1,5443268882166423;1,6302138234800048;1,5537666003729829;1,5428423780754634;1,6313431673661314;1,562122983908366;1,7561628794738071;1,5936027574937612;1,5936027574937612;2,0003109094391585;1,3699766466724437;1,4013157445752942;1,5443268882166423;1,7287275713427086;1,1969813428750822;1,277019620592645;1,7219920147549546;1,5986091117441523;1,4390134255103817;1,5255988825033782;0;1,9353914798829444
1,9418233395768;1,1893668532122486;1,2593920888963308;1,5566271887559233;1,997958592393332;1,1893668532122486;1,578205780802962;1,5054934937060185;1,3547665428957478;1,5079153273019734;1,2756637713613217;1,3457570699612666;1,289922893444846;1,1494977004978824;1,2661485568743012;1,5944864976231388;1,7499318300676492;1,1893668532122486;1,1893668532122486;1,997958592393332;1,578205780802962;1,3547665428957478;1,2756637713613217;1,9418233395768;1,29855549122087;0,8210137162260567;1,4482312482034951;1,6260489484013878;1,355108013338138;1,2643568527228142;0;1,671375304589675
1,9919839911024664;1,3663126152194198;1,4987183469467251;1,4164563111043642;2,00951123586125;1,3663126152194198;1,1535110796014203;1,6254399661416383;1,1341531189355574;1,3783001350962014;1,1979103099424877;1,5392855094602478;1,4148072869959034;1,3058406440342682;1,5228974433961506;1,7704874882684851;1,294957693096363;1,3663126152194198;1,3663126152194198;2,00951123586125;1,1535110796014203;1,1341531189355574;1,1979103099424877;1,9919839911024664;1,2868400108508844;0,9508407887442109;1,6470611853414294;1,6673786474635863;1,1988860280776903;1,29209317981476;0;1,992777608187412
1,82663356236862;1,4032776729438934;1,5687334290467512;1,363184344370966;2,1324839046663056;1,4032776729438934;1,512369092041835;1,6189478045048704;1,2943544749189535;1,3708547679224286;1,535898813942576;1,4832153847681562;1,515113490667097;1,4080437622690094;1,442625998184233;1,5646398624842572;1,4425009136980271;1,4032776729438934;1,4032776729438934;2,1324839046663056;1,512369092041835;1,2943544749189535;1,535898813942576;1,82663356236862;1,3754984066854272;1,1566774792826418;1,5007219431420071;2,0010574266867365;1,293013140863265;1,308402838584369;0;2,20508117581438
1,7913730995920596;1,2350435972984792;1,5865786777405042;1,470591123924857;2,1074093593011263;1,2350435972984792;1,1877824377417483;1,6430091143835104;1,1070573844836746;1,5131609588990669;1,2993730510587371;1,4758569324034063;1,3192019637511598;1,3042094498150816;1,4900138124378726;1,6270851651827165;1,505103429025597;1,2350435972984792;1,2350435972984792;2,1074093593011263;1,1877824377417483;1,1070573844836746;1,2993730510587371;1,7913730995920596;1,4094387385913059;1,0704902938313892;1,3879615753084409;2,0213793809088267;1,3933648196568202;1,278476432439964;0;2,1363733539853325
1,7550407567706332;1,1185004483215188;1,4891126215062067;1,5178102060626273;1,8150699781548405;1,1185004483215188;1,2950042320119473;1,5668458396354148;1,1357922268396536;1,4277597423301471;1,289354077712294;1,338692117472846;1,1882098031185957;1,3995371143073343;1,336444664002861;1,5005128738227012;1,7278777791825182;1,1185004483215188;1,1185004483215188;1,8150699781548405;1,2950042320119473;1,1357922268396536;1,289354077712294;1,7550407567706332;1,2629719893784859;1,1597828985519525;1,3248954524599328;1,778797091936423;1,6055905262403791;0,9853404935097414;0;2,1573453108737057
1,7903164578420154;1,3105283216374486;1,3785740221878109;1,4570026743895048;1,7160922425739509;1,3105283216374486;1,124855492829168;1,4019766130667617;1,3324983273952211;1,4451892954554324;1,2987528166923858;1,4685842688307982;1,3001852567981278;1,4840008297150429;1,4786395448598897;1,7745893576085647;1,7062958129852974;1,3105283216374486;1,3105283216374486;1,7160922425739509;1,124855492829168;1,3324983273952211;1,2987528166923858;1,7903164578420154;0,9943679212586636;1,0060667598921198;1,4165547420813822;1,9870081784133384;1,6978071358340916;0,9382705846931584;0;1,738919361928493
1,718275153058357;1,261793359277735;1,3889893605031864;1,5491444110371455;1,7501605157310571;1,261793359277735;1,1529896003139286;1,4037796141939551;0,9451891883605243;1,539315260669859;1,4442733616344825;1,5006443671377;1,2454822002539818;1,4450450541073472;1,4383924212515464;1,5845450760445243;1,8398812580992316;1,261793359277735;1,261793359277735;1,7501605157310571;1,1529896003139286;0,9451891883605243;1,4442733616344825;1,718275153058357;1,1842924443046354;0,9301486893367724;1,4664211491645118;1,9674293291324167;1,7717749874127788;1,0246202287609392;0;1,893366916165139
1,5170833314443175;1,4691105059131908;1,3591547935185118;1,6130385401926826;1,4319174703868491;1,4691105059131908;1,1976342994122064;1,3634308825195178;1,119187062256895;1,6514765575285644;1,5381946939404882;1,5896248520642922;1,5446627624293472;1,576413239225117;1,537654656922666;1,5782970410654331;2,042306456211416;1,4691105059131908;1,4691105059131908;1,4319174703868491;1,1976342994122064;1,119187062256895;1,5381946939404882;1,5170833314443175;1,3995394779987511;1,2707982434115677;1,4458625463234456;1,7831083389383682;2,089405952138305;1,163296485866473;0;1,7258451636233898
1,5674382172938954;1,3229043912108396;1,239612020412022;1,6582578162481159;1,4542769168693428;1,3229043912108396;0,9276576140863112;1,1799363611520746;0,9975032649270456;1,6332615381321278;1,4154973521896894;1,476494345226912;1,2975337591065568;1,2516219201382721;1,3907315828468159;1,6674345717713572;2,002128447262647;1,3229043912108396;1,3229043912108396;1,4542769168693428;0,9276576140863112;0,9975032649270456;1,4154973521896894;1,5674382172938954;1,067946317530265;1,1237793711535102;1,5414253173743844;1,7797462620838518;1,5295411177202185;1,2966029236962109;0;1,9918816757980389
1,573116416898172;1,3062724365906908;1,1821898759671243;1,6675308740488108;1,4009145667511311;1,3062724365906908;0,7588035467061547;1,3180514832588996;0,6872721757794971;1,539844016126055;1,3255017155755424;1,5037490467778292;1,2147586580999763;1,3461940867372768;1,1793089893611712;1,7173274479691434;2,02147212515592;1,3062724365906908;1,3062724365906908;1,4009145667511311;0,7588035467061547;0,6872721757794971;1,3255017155755424;1,573116416898172;0,8252676422026076;1,2194080284982145;1,2896554949288521;1,6178294318745037;1,6471756678942888;1,2957961706539989;0;1,9124824469563253
1,4744288529109768;1,062939701013308;1,1595815380569354;1,5276206181467047;1,2073075848303714;1,062939701013308;0,7100409705125564;1,275139190829779;0,8196153718919772;1,5824124641377713;1,177816710953905;1,2413317260191423;1,2781548501709756;1,1671990359457884;1,1892542420008936;1,518834181473962;1,965557059140204;1,062939701013308;1,062939701013308;1,2073075848303714;0,7100409705125564;0,8196153718919772;1,177816710953905;1,4744288529109768;0,6289869798130424;1,4048378213908193;1,0958178529841842;1,954748703817012;1,7060403072823735;1,7598790329560143;0;1,58135560345775
1,4952938570029872;1,3209366638321645;1,150061541844013;1,4746832090242061;1,401508690118643;1,3209366638321645;0,7511650772972039;1,3895553747440792;0,8808200293489372;1,779988758201532;1,3335590658937106;1,4241736682753046;1,3291575388776706;1,2879731144539242;1,3538597299487525;1,695179050343837;2,128868840640017;1,3209366638321645;1,3209366638321645;1,401508690118643;0,7511650772972039;0,8808200293489372;1,3335590658937106;1,4952938570029872;0,7009993166954556;1,0131058849088532;1,2353180066221607;1,7403081181254358;1,8090482001173789;1,1563023424217909;0;1,5804800215399588
1,2874155203816795;1,3871845924001325;1,3320164427282972;1,5311252524829555;1,3693686792502688;1,3871845924001325;0,7487935772135349;1,444912758283383;0,8891579705217059;1,7546570801064518;1,47816863599266;1,475486786823253;1,40987523045289;1,3007144698941997;1,378064712556819;1,6797350674920677;2,0279287475110164;1,3871845924001325;1,3871845924001325;1,3693686792502688;0,7487935772135349;0,8891579705217059;1,47816863599266;1,2874155203816795;0,8549555527558209;1,2060081089043544;1,4328651065789906;1,6510113103122128;1,7313787812089685;1,2306044935447218;0;1,5353279724715472
1,3395079785854809;1,3577077012275691;1,3551052338861145;1,449452738232189;1,288872304250234;1,3577077012275691;0,8015325238417916;1,4789099665433312;0,9311102306832794;1,7597886238803797;1,4769377907155183;1,5164607463724458;1,359660837465636;1,353478871994004;1,4399362550375243;1,5697427970927225;2,085408276485653;1,3577077012275691;1,3577077012275691;1,288872304250234;0,8015325238417916;0,9311102306832794;1,4769377907155183;1,3395079785854809;0,7694182396315979;1,5571394656569255;1,255539131200475;1,6199820651439096;1,8292935026656023;1,51146009132267;0;1,362522866243448
1,0210940885792759;1,3527089800326717;1,3230679104961294;1,5537340986645978;1,2591164758274007;1,3527089800326717;0,9914959574437472;1,4710886345761698;1,0295978448064842;1,7924578525581;1,456446621469634;1,4651090577946426;1,3344006816411529;1,2732001168043945;1,2730970524331302;1,4501320270084062;2,0448410012942038;1,3527089800326717;1,3527089800326717;1,2591164758274007;0,9914959574437472;1,0295978448064842;1,456446621469634;1,0210940885792759;0,7912394925472873;1,427323658061347;1,2939813715834054;1,6217935316337897;1,6470099098696074;1,1680157118811636;0;1,3296680790157325
1,307738686482829;1,2788089996883447;1,380505924926804;1,4178679581070692;1,323546563315325;1,2788089996883447;1,058652961558198;1,3273954438963762;0,8494627799840295;1,7392962530246419;1,4697752103108541;1,4125559460579815;1,3602910749322084;1,2437215040526342;1,3388603336857596;1,5158057270521934;2,103129339819395;1,2788089996883447;1,2788089996883447;1,323546563315325;1,058652961558198;0,8494627799840295;1,4697752103108541;1,307738686482829;1,07647989920237;1,4411791877618552;1,3390819155717493;1,576929965459786;1,4452191702688548;1,4895937490107145;0;1,1889071477011772
1,6329252671692736;1,5511436617366725;1,340274784224904;1,343098837986593;1,4618798103309585;1,5511436617366725;0,9673264107899888;1,3522906936536014;0,8425841299507301;1,5736618856857356;1,4462370562280424;1,5448802431827102;1,5195026330128232;1,4036523014844131;1,3449516870631937;1,6120280006040082;1,996749588169898;1,5511436617366725;1,5511436617366725;1,4618798103309585;0,9673264107899888;0,8425841299507301;1,4462370562280424;1,6329252671692736;0,8308194365734131;1,7871202083323368;1,2953273896246107;1,3479427423262815;1,4352639517477703;1,5407173572301045;0;0,9691371237301504
1,5554645064392965;1,5678828528358626;1,499298260368287;1,344758920229128;1,6157117912190675;1,5678828528358626;0,9847610883190024;1,4378558726974549;0,9776288625395692;1,7580061025983986;1,505076188302896;1,5366856567303262;1,5430057119527734;1,417115566115153;1,4727623365813023;1,7389206033405578;2,142441859452062;1,5678828528358626;1,5678828528358626;1,6157117912190675;0,9847610883190024;0,9776288625395692;1,505076188302896;1,5554645064392965;0,9299960894690528;1,6567261834891125;1,4208279767032628;1,4686524786999802;1,4066276429796591;1,3834924960994348;0;1,131550276159431
